Fiscal Year,Employer,Total Approval,NAICS
2022,3BRIDGE SOLUTIONS LLC DBA THREEBRI,25,54
2022,3C DRILLING LLC,6,21
2022,3C ENVIRONMENTAL SOLUTIONS INC,16,42
2022,3CINTERACTIVE CORP,12,54
2022,3CLOGIC INC,140,54
2022,3CORE SYSTEMS INC,36,54
2022,3D ACCESS INC,5,54
2022,3D IMAGING AND SIMULATION CORP AMERICAS DBA 3DISC IMAGING,18,33
2022,3D INTERNATIONAL LLC,13,32
2022,3D MARINE USA INC,51,54
2022,3D SYSTEMS INC,149,33
2022,3D TECHNOLOGIES LLC,131,54
2022,3DEO INC,6,33
2022,3DNA CORP D/B/A NATIONBUILDER,19,54
2022,3E CONSULTING INC,9,54
2022,3EDGEUSA GROUP LLC,10,54
2022,3GTMS LLC,29,54
2022,3H SYSTEMS LLC,24,54
2022,3I INFOTECH INC,112,54
2022,3I PEOPLE INC,28,54
2022,3IC RESEARCH LLC,6,54
2022,3IGEEKS LLC,21,54
2022,3ITEK LLC,12,54
2022,3J INTERNATIONAL LTD CO,28,42
2022,3K TECHNOLOGIES LLC,40,54
2022,3KEYS INC,50,54
2022,3M COMPANY,94,33
2022,3MD INC DBA DENALI ADVANCED,17,54
2022,3PILLAR GLOBAL INC,18,54
2022,3PL CENTRAL LLC,12,51
2022,3PLAY MEDIA INC,2,54
2022,3Q DIGITAL,9,54
2022,3QI LABS INC,13,54
2022,3R INFO LLC,18,54
2022,3RED PARTNERS LLC,3,52
2022,3S BUSINESS CORPORATION,54,54
2022,3S ENGINEERING AND DESIGN LLC,14,54
2022,3S NETWORK INC,16,54
2022,3SHARE INC,38,54
2022,3SHARP LLC,10,51
2022,3SIXTY FUNDRAISING LLC,20,56
2022,3XN USA LLC,35,54
2022,4 AI SOFT LLC,8,51
2022,4 PEAKS BUSINESS SOLUTION LLC,54,54
2022,4 S T E L ENGINEERING INC,24,54
2022,4 SERV SOLUTIONS INC,20,54
2022,400 CAPITAL MANAGEMENT LLC,20,52
2022,404 LABS INC,4,54
2022,41SQUARE LLC,13,99
2022,41ST PARAMETER INC,32,51
2022,42 NORTH DENTAL CARE LLC,14,62
2022,42 NORTH DENTAL CARE PLLC,49,62
2022,42LAYERS CORP,23,54
2022,47 BRAND LLC,4,42
2022,4A CONSULTING LLC,23,54
2022,4A SOLUTIONS LLC,5,54
2022,4CONSULTING INC,11,54
2022,4D SYSTEMS LLC,34,54
2022,4EARTH INC,8,54
2022,4G CLINICAL LLC,36,54
2022,4M ANALYTICS INC,3,54
2022,4M CAPITAL LTD D/B/A ARTERIORS HOM,8,54
2022,4M HOSPITALIST SERVICES LLC,8,62
2022,4P CONSULTING INC,32,54
2022,"4SCHOOLERS, LLC",11,61
2022,4TH DIMENSION EMR INC,7,54
2022,4WEALTH FINANCIAL GROUP LLC,8,54
2022,4WEB INC,103,99
2022,5 DESIGN INC DBA 5+ DESIGN,13,54
2022,5 STAR LLC DBA VERNON DANIEL ASSOC,44,23
2022,5247 BROADWAY DRUGS INC DBA DRUG MART,23,44
2022,535MEDIA LLC,21,54
2022,547 ENERGY MANAGEMENT LLC,148,55
2022,55 SANDALWOOD ENTERPRISES DBA MCGUIRES HEARING CENTERS,19,62
2022,57 STARS LLC,2,52
2022,58 BAKERY INC DBA PARIS BAGUETTE,19,72
2022,5DLIGHT INC,39,42
2022,6 RIVER SYSTEMS LLC,27,51
2022,"605, LLC",12,54
2022,617MEDIGROUP LLC DBA 617MEDIAGROUP,20,54
2022,630 AEROSPACE INC,8,54
2022,64LABS,90,54
2022,66DEGREES LLC,45,54
2022,6BLU INC.,3,54
2022,6COM INC,8,54
2022,6D BYTES INC D/B/A BLENDID,5,54
2022,6E TECHNOLOGIES LLC,349,54
2022,6SENSE INSIGHTS INC,33,51
2022,6TH AVE HOMES LLC,5,53
2022,7 ELEVEN INC,115,44
2022,701X INC,52,51
2022,720 WORLDWIDE INC,51,54
2022,75 BURNSIDE DRUG SURGICAL INC,20,44
2022,776 MGT LLC DBA SEVEN SEVEN SIX,87,52
2022,777 PARTNERS LLC,30,55
2022,7CINFO COM INC,23,54
2022,7L INTERNATIONAL INC,11,54
2022,7TH ONLINE INC,13,54
2022,8 MINUTE SOLAR ENERGY LLC,16,23
2022,80 ACRES URBAN AGRICULTURE  INC,3,11
2022,84 51 LLC,40,54
2022,85SIXTY,29,54
2022,88RISING INC,95,71
2022,8GLABS INC,6,51
2022,8TH AVENUE FOOD @ PROVISIONS INC,33,31
2022,8X8 INC,33,51
2022,906 STUDIO PLLC,18,54
2022,97 LABS INC,9,45
2022,98POINT6 INC,40,54
2022,9920 MGMT LLC,3,72
2022,99MEDIALAB LLC,13,54
2022,9DOTS TECHNOLOGY INC,12,54
2022,9EDGE INC,25,54
2022,9LLABS LLC,22,54
2022,9LOGIC TECHNOLOGIES INC,41,54
2022,9M SOLUTIONS INC,60,54
2022,9THNETWORKS INC,13,54
2022,9TO5 SEATING LLC,34,33
2022,9TO9 SOFTWARE SOLUTIONS LLC,18,54
2022,A & B ENVIRONMENTAL SERVICES INC,28,54
2022,A & B FOUNDRY LLC,26,33
2022,A & B HOME GROUP INC,57,42
2022,"A & C TRADE CONSULTANTS, INC.",5,42
2022,A & J CAPITAL INC,6,52
2022,A & M ENGINEERING AND ENVIRONMENTAL SERVICES INC,15,23
2022,A & P PHARMACY INC D B A ROANOKE PHARMACY,32,44
2022,A & R INFOTECH INC,9,54
2022,A 1 HEALTHCARE MANAGEMENT,3,62
2022,A 1 JAYS MACHINING INC,8,33
2022,A 1 REHAB & RECRUITMENT SVCS INC,165,62
2022,A A ANDERSON & CO INC DBA ANDERSON,36,54
2022,A ALPHA BIO INC,18,54
2022,A AND A QUALITY APPLIANCE INC D/B/A APPLIANCE FACTORY MATRESS KINGDON,15,44
2022,A C KINGS LLC,11,54
2022,A CAP SERVICES LLC,57,52
2022,A CARING DOCTOR MINNESOTA P A DBA BANFIELD PET HOSPITAL,7,54
2022,A CARING DOCTOR NEW JERSEY P C DBA BANFIELD PET HOSPITAL,50,54
2022,A CARING DOCTOR TEXAS PC,23,54
2022,A CARING DR PC DBA BANFIELD PET HO,19,54
2022,A CHEMTEK INC,20,54
2022,A CST GROUP INC DBA DYNASEL USA,6,23
2022,A E TELEVISION NETWORKS LLC,13,51
2022,A FARKAS LLC,60,54
2022,A FODERA & SON INC DBA FODERA FOOD,25,42
2022,A G RHODES HOME COBB IN CD/B/A A G,8,62
2022,A I ARTIST STUDIO INC,97,61
2022,A I PORTFOLIO INC,32,54
2022,A J CONSULTING ENGINEERING SERVICES P C,16,54
2022,A LINE STAFFING SOLUTIONS LLC,26,56
2022,A MAX INSURANCE SERVICES INC,8,54
2022,A MEDIUM CORPORATION,40,99
2022,A MILSTEIN LAW GROUP PLLC,30,54
2022,A MORTON THOMAS & ASSOCIATES INC,11,54
2022,A O FOX MEMORIAL HOSPITAL,5,62
2022,A O SMITH CORPORATION,13,33
2022,A P REHAB LLC,67,62
2022,A P VENTURES LLC,13,54
2022,A PARTNERSHIP INC,15,54
2022,A PLACE FOR MOM INC,68,62
2022,A PLUS COVERAGE LLC,10,52
2022,A PLUS EDUCATION INC,20,61
2022,A PLUS PHYSICAL THERAPY LLC,45,62
2022,A PLUS PLUMBING CORP,14,23
2022,A R ALL GODS CHILDREN LLC DBA SHOUT HOUSE,7,72
2022,A R T ADVISORS LLC,54,52
2022,A S GILL DENTAL CORP DBA GILL FAMILY DENTISTRY,31,62
2022,A SQUARE GROUP LLC,14,54
2022,A SQUARED BUS & CONSULTING LLC,21,54
2022,A STAR PARTNERS LLC,8,52
2022,A T KEARNEY INC,68,54
2022,A TEAM LOGISTICS GROUP INC,95,54
2022,A TECH SYSTEMS,10,99
2022,A TO BE USA LLC,6,33
2022,A U VISTA INC,5,33
2022,A VENTERPRISEINC,99,54
2022,A W AND S CONSTRUCTION CO INC,53,23
2022,A Z PHARMACEUTICAL INC,39,32
2022,A ZAHNER COMPANY,9,33
2022,A&A INFOSYSTEMS INC,21,54
2022,A&B FOUNDRY LLC,23,33
2022,A&E MUNDO LLC,1,51
2022,A&G LLP,15,54
2022,"A&H TECHNOLOGIES, LLC",6,54
2022,A&N GROUP INC,211,54
2022,A&R CONSTRUCTION MGMT & DEVELOPMEN,7,72
2022,A&T IRON WORKS INC,12,33
2022,A-LIGN COMPLIANCE AND SECURITY INC,46,54
2022,A-TEK INC,5,54
2022,A.B.R.H. INC. D/B/A ALAMITOS BELMONT REHABILITATION HOSPITAL,17,62
2022,A.T. STILL UNIV OF HEALTH SCIENCES,19,61
2022,A.W. CHESTERTON COMPANY,16,33
2022,A1 CONSULTING INC,7,54
2022,A1 PHYSICAL THERAPY INC,12,62
2022,A1 WHOLESALE SUPPLY LLC,37,42
2022,A10 CONSULTANCY INC,11,54
2022,A10 NETWORKS INC,36,54
2022,A123 SYSTEMS LLC,100,33
2022,A24 STUDIOS LLC,5,51
2022,A25 SOLUTIONS LLC,6,54
2022,A2F CONSULTING LLC,7,52
2022,A2MAC1 LLC,18,42
2022,A2ZUNIQUE INC,5,54
2022,A3 BY AIRBUS LLC,16,44
2022,A4 MEDIA LLC,41,51
2022,A4G SOLUTIONS LLC,91,54
2022,A4SOFTECH LLC,17,54
2022,A52 LLC D B A ELASTIC,12,51
2022,A9 COM INC,36,45
2022,AA PACIFIC ACCOUNTANTS INC,5,54
2022,AA SOFTWARE AND NETWORKING INC,14,54
2022,AA SOLUTIONS INC,27,54
2022,AA TECH GROUP LLC,25,54
2022,AAA CAPITAL INVESTMENT INC,11,52
2022,AAA CLUB ALLIANCE INC,51,56
2022,AAA ELECTRONICS INC,31,42
2022,AAA GLOBAL TECHNOLOGIES LLC,139,54
2022,AAA LIFE INSURANCE COMPANY,7,52
2022,AAA TEXAS LLC,22,56
2022,AAA VIRGINIA CONSULTING INC,45,54
2022,AAAPKR LLC,14,72
2022,AABACO SMALL BUSINESS LLC,85,51
2022,AAC EAST LLC,4,32
2022,AAC GLASS INC,3,23
2022,AACE PHARMACEUTICALS INC,14,32
2022,AAD IT SOLUTION LLC,6,54
2022,AADESH RX LLC,16,44
2022,AADG INC D/B/A CECO DOOR PRODUCTS,15,33
2022,AADHICK SOLUTIONS INC,9,54
2022,AADHYA INFOTECH LLC,16,54
2022,AADYA BIO ANALYTICS SERVICES LLC,45,54
2022,AAFCPAS INC,6,54
2022,AAJ COMPUTER SERVICES INC DBA OZ,7,54
2022,AAKASH INC DBA PARK CENTRAL CARE AND REHAB CENTER,50,62
2022,AAKASH LLC,29,44
2022,AAMP OF FLORIDA INC,9,42
2022,AAMPE INC,87,54
2022,AANEEL INFOTECH,107,54
2022,AAPG LLC DBA FOOTBALL FACTORY,5,61
2022,AAPPAKADAI INC,20,72
2022,AARAV SOLUTIONS INC,13,54
2022,AARC ENVIRONMENTAL INC,40,54
2022,AAREN SCIENIFIC INC,44,33
2022,AARETE LLC,17,54
2022,AARIA PHYSICAL THERAPY INC,27,62
2022,AARISHA INC,12,54
2022,AARKAY CONSULTING INC,12,54
2022,AARKAY TECHNOLOGIES INC,239,54
2022,AARKISH PHARMACEUTICALS NJ INC,153,32
2022,AARNA PRIYA INC,172,51
2022,AARNA TECHNOLOGIES LLC,4,54
2022,AARNAV IT CONSULTING LLC,26,54
2022,AAROHI DENTAL PC,14,62
2022,AARP,8,81
2022,AART DENTAL PC,10,62
2022,AAS SERVICES LLC DBA AMERICAN AUTO,77,52
2022,AASRITA CONSULTING LLC,23,54
2022,AAT BIOQUEST INC,14,54
2022,AAVAS INC,5,54
2022,AAVISPRO LLC,9,54
2022,AAXA TECHNOLOGIES INC,15,33
2022,AAXIS GROUP CORP,61,54
2022,AAXY LLC,29,52
2022,AB CARVAL INVESTORS LP,5,52
2022,AB CONSULTING ENGINEERS INC,9,54
2022,AB ELECTRONICS LLC,15,33
2022,AB ENERGY USA LLC,4,54
2022,AB INFOTEK LLC,12,54
2022,AB MAYOR LLC,5,62
2022,AB OVO NORTH AMERICA INC,16,99
2022,"AB OVO, INC.",69,54
2022,AB SCIEX LLC D/B/A SCIEX,16,33
2022,AB TECHNOLOGIES INC,85,54
2022,AB WELDING INC,26,33
2022,AB2 CONSULTING INC,27,54
2022,ABA INDUSTRY INC,24,42
2022,ABAB SOLUTIONS INC,6,54
2022,ABACUS ACCOUNTING GROUP INC,28,54
2022,ABACUS AI INC,19,54
2022,ABACUS CPAS LLC,14,54
2022,ABACUS DATA SYSTEMS INC,125,51
2022,ABACUS FINANCIAL SERVICES INC,34,52
2022,ABACUS INSIGHTS INC,5,54
2022,ABACUS IT INC,4,54
2022,ABACUS SERVICE CORPORATION,200,54
2022,ABACUS SETTLEMENTS LLC,11,81
2022,ABACUS TECHNICAL SERVICES LLC,47,54
2022,ABADJIS SYSTEMS LTD DBA ASLPM,5,54
2022,ABAL TECHNOLOGIES INC,41,54
2022,ABARCA TECHNOLOGIES LLC,32,54
2022,ABATA THERAPEUTICS INC,3,99
2022,ABATUS LLC,6,54
2022,ABB E-MOBILITY INC,9,33
2022,ABB ENTERPRISE SOFTWARE INC DBA HI,170,22
2022,ABB INC,701,33
2022,ABB INSTALLATION PRODUCTS INC,5,42
2022,ABBEVILLE COUNTY SCHOOL DISTRICT,56,61
2022,ABBOTT CARDIOVASCULAR SYSTEMS INC,32,32
2022,ABBOTT DIABETES CARE INC AN ABBOTT,52,32
2022,ABBOTT DIABETES CARE SALES CORPORATION AN ABBOTT LABORATORIES COMPANY,14,32
2022,ABBOTT DIAGNOSTICS SCARBOROUGH INC,20,32
2022,ABBOTT LABORATORIES,162,32
2022,ABBOTT POINT OF CARE INC AN ABBOTT LABORATORIES COMPANY,19,32
2022,ABBOTT RAPID DIAGNOSTICS INFORMATICS INC AN ABBOTT LABORATORIES COMPANY,45,32
2022,ABBVIE BIORESEARCH CENTER,57,32
2022,ABBVIE BIOTHERAPEUTICS INC,213,32
2022,ABBVIE ENDOCRINOLOGY INC AN ABBVIE COMPANY,16,32
2022,ABBVIE INC,192,32
2022,ABBVIE STEMCENTRX LLC,14,32
2022,ABBVIE US LLC AN ABBVIE COMPANY,27,32
2022,ABBY ROSE INC,15,42
2022,ABBYSON LIVING LLC,7,42
2022,ABC CONSTRUCTION CONTRACTING INC,7,11
2022,ABC FITNESS SOLUTIONS LLC,31,54
2022,ABC SUPPLY CORPORATION INC,34,42
2022,ABCAM INC,13,99
2022,ABCLONAL SCIENCE INC,23,54
2022,ABCOMBI BIOSCIENCES INC,12,32
2022,ABD INSURANCE AND FINANCIAL SERVICES INC,26,52
2022,ABD SOLUTIONS INC,26,54
2022,ABDEV SOLUTIONS INC,16,54
2022,ABDUL Q MEMON MD PLLC DBA CARDIOVA,56,62
2022,ABEAM CONSULTING USA LTD,6,54
2022,ABEL NOSER SOLUTIONS LLC,8,54
2022,ABENA NORTH AMERICA INC,5,32
2022,ABERCROMBIE & FITCH MANAGEMENT CO,43,44
2022,ABERCROMBIE & FITCH STORES INC,9,44
2022,ABERCROMBIE & FITCH TRADING CO,36,44
2022,ABERDEEN CAPTIONING INC,74,51
2022,ABERDEEN STANDARD INVESTMENTS INC,27,52
2022,ABEYON LLC,12,54
2022,ABG OPERATING LLC D B A AMERICAN BATH GROUP LLC,14,32
2022,ABHAY SOLUTIONS INC,10,54
2022,ABHT LLC DBA ABHT STRUCTURAL ENGINEERS,12,54
2022,ABILENE CHRISTIAN UNIVERSITY,70,61
2022,ABILITIES PHYSICAL THERAPY INC DBA,6,62
2022,ABILITY PLUS THERAPY INC,5,62
2022,ABILITY WORKS REHAB SERVICES LLC,69,62
2022,ABILITY-ALL 4 KIDS LLC,6,62
2022,ABINFOTECHNOLOGIES LLC,9,54
2022,ABINGTON MEMORIAL HOSPITAL,127,62
2022,ABIOMED INC,23,33
2022,ABIOSCIENCES INC,38,54
2022,ABJAYON INC,11,54
2022,ABL AUTOMATION INC,36,33
2022,ABLE AI INC,3,54
2022,ABLE MASONRY DEVELOPMENT CO,66,23
2022,ABLETO INC,16,62
2022,ABM CONSTRUCTION CO.,15,55
2022,ABM CONTROLS INC,28,54
2022,ABM HEALTHCARE SUPPORT SERVICES,3,54
2022,ABM INDUSTRIES INCORPORATED,17,54
2022,ABN AMRO CLEARING CHICAGO LLC,10,52
2022,ABN AMRO HOLDINGS USA LLC,8,52
2022,ABN TECH CORPORATION,9,54
2022,ABNORMAL SECURITY CORPORATION,24,54
2022,ABOARD EMPLOYEE LLC,8,51
2022,ABON PHARMACEUTICALS LLC,227,32
2022,ABOTTS CONSULTING INC,37,54
2022,ABOUT HEALTHCARE INC,9,52
2022,ABOUT INC,42,51
2022,ABOVE AND BEYOND BUS TOOLS AND,4,52
2022,ABOVE AND BEYOND CARE PROVIDERS,4,62
2022,ABOVE GRADE ENGINEERING INC,96,54
2022,ABOVE GREEN LLC,22,54
2022,ABOVE LENDING INC,5,52
2022,ABP INTERNATIONAL INC,12,54
2022,ABR IT CONSULTING LLC,7,54
2022,ABRACON HOLDINGS LLC DBA ABRACON L,341,33
2022,ABRACON LLC,13,33
2022,ABRAHAM BALDWIN AGRIC COLLEGE,22,61
2022,ABRIDGE AI INC,11,33
2022,ABRIDGE INFO SYSTEMS INC,22,54
2022,ABS GLOBAL INC,10,11
2022,ABS GLOBAL TRADING LIMITED,10,54
2022,ABSCI CORPORATION,86,54
2022,ABSEN INC,23,33
2022,ABSG CONSULTING INC,8,54
2022,ABSHER CONSTRUCTION CO,38,23
2022,ABSOLUTDATA TECHNOLOGIES INC,14,54
2022,ABSOLUTE CARE PHYSICAL THERAPY GRO,27,62
2022,"ABSOLUTE DENTAL & ORTHODONTICS PRADA, PLLC",10,62
2022,ABSOLUTE ELECTRONICS INC,25,33
2022,ABSOLUTE FABRICATION LLC,3,32
2022,ABSOLUTE GENOMICS PHL LLC,9,62
2022,ABSOLUTE HOSPITALITY LP,11,72
2022,ABSOLUTE REHABILITATIVE THERAPY INC,13,62
2022,ABSOLUTE SECURITY INTL INC DBA ABS,4,56
2022,ABSOLUTE SOFTWARE INC,11,54
2022,ABSOMAX INC,2,54
2022,ABSORPTION SYSTEMS BOSTON LLC,4,54
2022,ABSORPTION SYSTEMS LLC,43,54
2022,ABT ASSOCIATES INC,88,54
2022,ABT ELECTRONICS INC,30,44
2022,ABTIVAN CORPORATION,6,42
2022,ABV ELECTRONICS INC DBA SIENNA CORPORATION,11,33
2022,ABVEN SERVICES INC,5,54
2022,ABZDENTAL PLLC,13,62
2022,ABZENA BRISTOL LLC,19,32
2022,ABZENA SAN DIEGO INC,3,54
2022,AC FLORIDA PAVERS LLC,17,42
2022,AC INFINITY CONSTRUCTION LLC,18,54
2022,AC MARTIN INC,88,54
2022,AC2 INC,107,54
2022,ACA CARE MANAGEMENT LLC,6,61
2022,ACACIA MORTGAGE FINANCE GROUP INC,29,52
2022,ACADEMIA INC,9,61
2022,"ACADEMIC ANALYTICS, LLC",8,54
2022,ACADEMIC MEDICINE SERVICES INC D/B,47,62
2022,ACADEMIE LAFAYETTE,17,61
2022,ACADEMY DENTAL OF HAMILTON PA,105,62
2022,ACADEMY HIGH SCHOOL,125,61
2022,ACADEMY MORTGAGE CORPORATION,2,52
2022,ACADEMY OF THE SACRED HEART,5,61
2022,ACADEMY OF THE SACRED HEART OF GRAND COTEAU INC,26,61
2022,ACADIA CENTER,28,81
2022,ACADIA HOSPITAL,13,62
2022,ACADIA IO LLC,35,54
2022,ACADIA TECHNOLOGIES INC,29,54
2022,ACADIAN ASSET MANAGEMENT LLC,29,52
2022,ACADIANA PEDIATRIC GASTROENTEROLOG,22,56
2022,ACADIASOFT INC,56,52
2022,ACAI OF AMERICA CORP D/B/A EXPLORE SUPER FOODS,264,31
2022,ACANTE INC,21,51
2022,ACCEL ROBOTICS CORP,3,54
2022,ACCELA INC,19,54
2022,"ACCELAGEN, INC.",9,54
2022,ACCELALPHA INC,30,54
2022,ACCELERANT SOFTWARE INC,28,54
2022,"ACCELERATE DIAGNOSTICS, INC.",30,32
2022,ACCELERATE360 DISTRIBUTION LLC,58,42
2022,ACCELERATED ENGINEERING LLC,108,54
2022,ACCELERATED FOCUS USA INC,28,54
2022,ACCELERATED TECHNOLOGIES INC,21,54
2022,ACCELERATION EMARKETING INC,26,54
2022,ACCELERIZE 360 INC,29,54
2022,ACCELERON CORP,287,99
2022,ACCELERON PHARMA INC,42,99
2022,ACCELIRATE INC,28,54
2022,ACCELL GLOBAL RISK SOLUTIONS INC,53,54
2022,ACCELLION USA LLC,17,51
2022,ACCELON INC,4,54
2022,ACCELQ INC,20,54
2022,ACCELTEK INC,12,54
2022,ACCELURA CORPORATION,8,54
2022,ACCENDERO SOFTWARE,6,54
2022,"ACCENT CONTROLS, INC",11,54
2022,ACCENT THERAPEUTICS INC,5,99
2022,ACCENTCARE INC,31,62
2022,ACCENTUATE IT SOLUTIONS LLC,56,54
2022,ACCENTUATE STAFFING INC,25,56
2022,ACCENTURE LLP,2235,54
2022,ACCENTURE LLP DBA IMAGINEA TECH,13,54
2022,ACCENZ LLC,25,54
2022,ACCEPT EDUCATION COLLABORATIVE CORPORATION,14,61
2022,ACCERN CORP,6,54
2022,ACCERTIFY INC,11,52
2022,ACCESS BIO INC,8,54
2022,ACCESS CAREERS TRAINING INC,12,92
2022,ACCESS CLINICAL PARTNERS LLC,72,62
2022,ACCESS COMMUNITY HEALTH NETWORK,30,62
2022,ACCESS DATA CONSULTING CORPORATION,32,54
2022,ACCESS DENTAL MANAGEMENT LLC DBA A,14,62
2022,ACCESS FINTECH INC,7,54
2022,ACCESS GLOBAL GROUP INC,9,54
2022,ACCESS GROUP INC,34,92
2022,"ACCESS INDUSTRIAL AUTOMATION, INC.",34,23
2022,ACCESS PHYSICAL THERAPY LLC,8,62
2022,ACCESS PHYSICAL THERAPY WELLNESS ROCKLAND PLLC,48,62
2022,ACCESS PLUS REHAB LLC,10,54
2022,ACCESS PSYCHOLOGY SERVICES PC,45,62
2022,ACCESSIBLE PHYSICAL THERAPY,28,62
2022,ACCESSO LLC,160,54
2022,ACCESSONE MEDCARD INC,3,52
2022,ACCIDENT FUND INSURANCE COMPANY OF AMERICA,22,52
2022,ACCION IMPACT MANAGEMENT LLC,7,52
2022,ACCION INTERNATIONAL,8,52
2022,ACCION LABS US INC,21,54
2022,ACCIONA ENERGY USA GLOBAL LLC,90,22
2022,ACCLAIM SYSTEMS INC,25,54
2022,ACCLARENT INC,12,32
2022,ACCLARIS INC,13,54
2022,ACCLARO INC,15,54
2022,ACCLIVITY HEALTH SOLUTIONS INC,14,54
2022,ACCO BRANDS USA LLC,27,33
